Name,data01,data02,data03,data04,data05,data06,data07,data08,data09,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57
"(1R,3S,4S,5R,7R)-4-(3-hydroxybutyl)-5-methyl-10-methylidene-8-oxatricyclo[5.3.0.0?l,?Å?]decan-9-one",71820.64079,5752001.695,218448.5211,58291.76914,51900.21473,650943.6063,91292.31308,55609.6942,55953.9072,59453.82129,88160.97531,191603.5573,52519.38103,211757.0758,1786712.79,122963.1257,78728.34984,236103.501,53701.05296,3017109.144,44187.83099,53870.87379,93474.04184,42725.86886,42880.28522,179964.675,68524.74871,61111.34255,101545.2796,74833.41326,70463.53118,57059.01923,70287.15243,57131.00595,58216.21359,54471.76911,42637.80689,41537.41756,40416.47301,73351.34861,98519.11608,58462.37031,48921.35597,76651.95904,68275.30463,177049.4377,51936.24266,47095.15782,44030.95229,222382.8195,155293.9173,44630.63811,50350.58526,107150.2166,46077.70652,104921.0568,51147.04522
"(1S,2S,3aR,4S,5S,9R,11R,13aS)-4,9,11-tris(acetyloxy)-3a-hydroxy-2,5,8,8,12-pentamethyl-1H,2H,3H,3aH,4H,5H,8H,9H,10H,11H,13aH-cyclopenta[12]annulen-1-yl benzoate",2133895.029,140151.4854,136603.6715,6001276.457,1898555.481,138691.1939,5027574.402,145046.8684,10114105.03,1656056.318,390792.5756,133872.9872,158310.2771,323482.9267,308047.3009,8518428.127,3790995.35,4045135.332,5423203.199,3421437.536,139559.6529,121364.2959,34535129.63,136256.4197,130114.8181,137040.3273,1087049.459,47332949.14,1741587.546,9551334.319,3096440.985,4571852.037,2519589.931,7279959.055,2959258.42,135583.5901,129961.9892,137329.9674,136973.307,1842247.447,136047.4881,1418562.21,1211824.844,141625.6871,4428154.257,1667329.568,136725.1805,1330449.122,770155.6491,138031.7588,132278.0464,132732.4161,132281.2602,136182.735,135193.8313,137622.723,139333.5636
"(2E)-3-(3,4-dihydroxy-2-methoxyphenyl)-1-(4-hydroxyphenyl)prop-2-en-1-one",51086.90884,380485.0884,955589.2374,211792.9479,43192.68939,4378561.761,140142.7204,1851718.874,77561.22183,7527030.214,62271.758,15250780.72,177072.9147,81567.63128,444321.2691,1475961.358,1120753.153,514827.7901,40188.04936,432770.4146,35019.09388,40920.58187,163775.5146,35416.12938,33443.93398,326360.2953,1234271.389,754583.9103,45398.6711,50074.16553,132622.2309,38501.51592,109235.6872,41927.23456,38974.83814,3377615.371,33344.14224,33307.35531,35466.71537,39219.36131,42286.12368,44581.41244,36189.37794,45172.12159,42729.48414,56720.593,40916.28881,39852.42605,47704.19841,72254.79295,50325.01863,49048.84968,50154.80959,48209.18228,53772.00497,52575.35901,56286.44588
"(2E)-3-[(1R,4S,7R,7aR)-1-hydroxy-3,7-dimethyl-2,4,5,6,7,7a-hexahydro-1H-inden-4-yl]-2-methylprop-2-enoic acid",501296.0605,36657656.61,15673498.03,1693841.957,1032650.085,8740692.732,2314723.815,537639.9178,255657.8658,75643.3974,451235.2087,1541020.673,478153.9717,1983067.941,8143010.456,1752278.111,429599.5569,2203269.988,71688.81354,19566811.05,51187.77165,41500.45356,710006.4084,52990.44266,49356.11987,1922995.559,109353.3285,73224.85062,73200.40982,169837.8582,73783.02816,103766.349,69900.10402,96611.64939,75553.01475,319331.9224,54157.82075,47704.83014,48744.77751,266325.7821,78370.1856,76353.86318,74820.71062,181377.1393,83566.32732,81584.45092,90127.12056,84647.78245,100130.7205,706887.6433,77027.88723,76084.71807,98361.93698,85821.03762,78278.57346,182279.8313,205180.4472
(4-benzoylpiperidino)[4-(tert-butyl)phenyl]methanone,1337716.189,13308718.59,22102165.62,10468330.79,5046437.323,35703982.97,11496783.95,11785037.17,2336863.281,21283859.53,5562469.681,2879702.694,12713346.34,4941739.899,11779291.07,8487265.03,12970185.7,1967822.207,866642.3362,1289761.791,6128832.342,245263.9029,3659429.414,6089000.901,6025714.869,8379525.699,19190072.57,7260704.448,3901875.888,4724540.301,3991888.915,8189355.798,4123022.088,443671.9044,2623517.108,2394777.091,608750.8529,2301056.575,329254.182,1540547.201,3840615.833,483751.1039,222312.3798,2388664.267,2639101.625,1159510.093,3031899.029,3979910.371,1396680.958,976950.9999,3546409.609,5005034.163,2211227.05,2250024.258,349409.4084,2044217.654,6482923.875
(S)-Nicotine,4504909.52,3522994.329,4976001.103,4142082.052,3899148.943,3072014.238,3156451.71,3817621.19,3213034.658,3135494.538,2606412.628,2769938.985,2750732.213,2731771.58,2743671.424,2984568.611,2813621.197,3675045.675,3025862.396,2730291.875,2186022.874,2206609.101,2609776.499,2080806.062,2197763.181,25898856.79,13696421.22,4483703.075,5774372.238,3663840.544,5305953.81,3488542.273,3725394.149,4674739.654,4437398.93,3230659.105,2078057.167,2193229.437,2027224.537,3144195.936,3085391.972,3398875.506,2460462.119,3263658.162,2125726.568,2372265.121,3546590.946,4090485.899,5683951.029,2634218.271,2905016.209,1965913.154,3032348.467,2551937.087,8491541.065,2445611.032,3026123.575
[1-(3-nitro-2-pyridyl)-4-piperidyl](phenyl)methanone,338628.989,39241431.01,17296992.59,3657304.572,23855005.88,4690944.808,4824894.066,4624224.985,9438714.594,18239379.71,7674169.527,20736189.38,19333847.06,14257652.01,44944681.7,5230968.78,34475240.06,2347432.763,8858591.473,25388883.78,226771.4493,231090.106,9760677.742,230617.8847,216319.6413,10386625.07,254995.3241,5630447.458,2744925.833,23445653.77,19651198.2,2605682.496,2861495.604,1083261.338,2202941.998,44775550.31,213081.0952,197287.1582,207381.2215,8596430.168,7470582.418,24823411.58,9871762.578,5583698.202,11506828.89,920052.1691,221953.5906,233814.8042,2558696.448,3871812.958,2314328.17,666108.6858,234663.9546,195276.9577,255511.6753,523292.9797,9374211.059
"1,4:3,6-Dianhydro-2-[(4-carboxybutanoyl)amino]-2,5-dideoxy-5-{[4-(3-fluorophenyl)-2-pyrimidinyl]amino}-L-iditol",239946.3472,215425.4231,323230.3025,303085.743,210354.4327,313591.6705,242926.3979,316690.3468,325437.5805,335169.1814,220867.0967,468665.1036,212660.1284,218518.326,311518.2461,214267.3776,434737.7009,432896.5666,477289.7557,217827.9605,124990.3263,234153.968,207240.8082,122936.9328,122047.9104,210466.928,218485.4126,211755.7038,302833.0396,316338.4657,415350.5154,350975.5656,347634.6563,325646.6001,384202.1902,406456.9158,119323.8487,120572.745,122929.555,307361.0052,583904.8911,604182.02,197024.908,209029.2906,225591.2103,2090117.985,218032.3145,2489748.602,3006803.537,207270.5099,6111004.259,11251650.64,10698668.37,9039351.044,8603563.754,9791788.937,14925601.89
"1-[(1S,2S,3S,4R,5R)-4-(Diethylamino)-3-hydroxy-6,8-dioxabicyclo[3.2.1]oct-2-yl]-3-(4-methoxyphenyl)urea",4047719.303,1655081.314,2664168.607,8219875.42,1092639.807,1697546.061,964362.6057,978254.3266,584087.4219,1303084.1,1141922.798,777768.1602,1487770.863,1003978.384,1151266.487,1159775.555,1328390.454,720340.2537,586731.6287,602368.6077,49945.98777,57274.59996,774210.985,47580.18804,48962.64241,859585.0978,1347065.459,921861.1553,675440.0948,988972.8702,635996.9505,904633.9689,847001.4392,643915.8559,633977.8086,615673.9831,44442.7717,45702.87822,47766.46525,464144.3598,802406.2011,606754.1594,445075.5663,187335.8176,728391.5067,407633.3054,561217.0341,846805.2534,766085.7027,384649.1372,608417.6666,145804.0242,167230.6308,64771.43721,49884.18942,55083.46997,49327.00695
15-Crown-5,6638991.496,5236447.79,3093203.064,8087120.159,7084952.106,4889901.221,9392660.463,3616876.204,11763709.88,6624624.75,9537270.891,5529840.602,1763837.634,4265203.322,3973418.545,5900984.38,8237112.438,958600.0185,5430469.495,1616305.095,18024.98277,130107.9644,3059437.267,17279.33624,16581.56106,3242356.738,3756646.087,3198765.583,8144191.909,7649186.122,2583558.297,2390776.032,1292938.783,1734546.054,1554759.673,999173.0394,16131.83542,15758.8325,15986.39472,1118942.49,2277209.03,1305486.904,563896.9208,3639662.28,2299363.253,1477848.15,2695226.325,3299787.326,3515814.853,2083298.72,4267620.122,3086166.449,4105538.078,4974459.42,2768257.24,6722853.719,3167234.228
